question_id,question,config,retrieval,reranker,faithfulness,answer_relevancy,context_precision,context_recall
1,What are the risk factors for mortality after kidney transplantation?,A_dense_only,dense,False,1.0,0.7558522,0.25,0.0
1,What are the risk factors for mortality after kidney transplantation?,B_hybrid,hybrid,False,0.8571428571428571,0.78392094,0.0,0.0
1,What are the risk factors for mortality after kidney transplantation?,C_hybrid_rerank,hybrid,True,0.8333333333333334,0.7810506,0.25,0.0
1,What are the risk factors for mortality after kidney transplantation?,D_dense_rerank,dense,True,0.8333333333333334,0.8620197,0.0,0.0
2,How does survival compare between deceased donor transplantation and continued dialysis?,A_dense_only,dense,False,1.0,0.82567406,0.6791666666666667,0.6
2,How does survival compare between deceased donor transplantation and continued dialysis?,B_hybrid,hybrid,False,1.0,0.80789995,1.0,0.5
2,How does survival compare between deceased donor transplantation and continued dialysis?,C_hybrid_rerank,hybrid,True,1.0,0.8724522,1.0,0.5
2,How does survival compare between deceased donor transplantation and continued dialysis?,D_dense_rerank,dense,True,1.0,0.85622543,1.0,0.6
3,What factors affect long-term kidney graft survival?,A_dense_only,dense,False,0.8,0.89734334,1.0,0.0
3,What factors affect long-term kidney graft survival?,B_hybrid,hybrid,False,0.8,0.7024691,1.0,0.0
3,What factors affect long-term kidney graft survival?,C_hybrid_rerank,hybrid,True,1.0,0.902484,0.8875,0.0
3,What factors affect long-term kidney graft survival?,D_dense_rerank,dense,True,0.75,0.8718405,0.8875,0.42857142857142855
4,What is the impact of expanded criteria donors on transplant outcomes?,A_dense_only,dense,False,1.0,0.67589074,0.4777777777777778,0.0
4,What is the impact of expanded criteria donors on transplant outcomes?,B_hybrid,hybrid,False,1.0,0.67784166,1.0,0.5
4,What is the impact of expanded criteria donors on transplant outcomes?,C_hybrid_rerank,hybrid,True,1.0,0.6899686,1.0,0.5
4,What is the impact of expanded criteria donors on transplant outcomes?,D_dense_rerank,dense,True,1.0,0.6752313,1.0,0.6
5,How does recipient age affect the survival benefit of transplantation?,A_dense_only,dense,False,1.0,0.7296521,0.5,0.5
5,How does recipient age affect the survival benefit of transplantation?,B_hybrid,hybrid,False,1.0,0.72291857,1.0,0.75
5,How does recipient age affect the survival benefit of transplantation?,C_hybrid_rerank,hybrid,True,1.0,0.7430818,1.0,0.8
5,How does recipient age affect the survival benefit of transplantation?,D_dense_rerank,dense,True,1.0,0.71416277,1.0,0.75
6,What are the complications of kidney transplantation?,A_dense_only,dense,False,0.8333333333333334,0.8408907,1.0,0.4
6,What are the complications of kidney transplantation?,B_hybrid,hybrid,False,1.0,0.8400386,0.8875,0.5
6,What are the complications of kidney transplantation?,C_hybrid_rerank,hybrid,True,1.0,0.8324146,1.0,0.2857142857142857
6,What are the complications of kidney transplantation?,D_dense_rerank,dense,True,1.0,0.6215828,1.0,0.2857142857142857
7,How does diabetes affect outcomes after kidney transplantation?,A_dense_only,dense,False,0.8,0.82161254,0.9166666666666666,0.0
7,How does diabetes affect outcomes after kidney transplantation?,B_hybrid,hybrid,False,1.0,0.80927587,1.0,0.6666666666666666
7,How does diabetes affect outcomes after kidney transplantation?,C_hybrid_rerank,hybrid,True,0.7142857142857143,0.80435324,0.8666666666666667,0.5
7,How does diabetes affect outcomes after kidney transplantation?,D_dense_rerank,dense,True,1.0,0.83260363,0.8055555555555555,0.5
8,What is the role of immunosuppression in preventing graft rejection?,A_dense_only,dense,False,1.0,0.7304683,1.0,0.5
8,What is the role of immunosuppression in preventing graft rejection?,B_hybrid,hybrid,False,1.0,0.73684454,1.0,0.42857142857142855
8,What is the role of immunosuppression in preventing graft rejection?,C_hybrid_rerank,hybrid,True,1.0,0.72943896,1.0,0.2857142857142857
8,What is the role of immunosuppression in preventing graft rejection?,D_dense_rerank,dense,True,1.0,0.7081602,1.0,0.2857142857142857
9,How does chronic kidney disease progress before dialysis is needed?,A_dense_only,dense,False,1.0,0.85260767,1.0,0.0
9,How does chronic kidney disease progress before dialysis is needed?,B_hybrid,hybrid,False,1.0,0.9178526,1.0,0.0
9,How does chronic kidney disease progress before dialysis is needed?,C_hybrid_rerank,hybrid,True,1.0,0.8485548,0.75,0.0
9,How does chronic kidney disease progress before dialysis is needed?,D_dense_rerank,dense,True,1.0,0.7332373,0.8041666666666667,1.0
10,What biomarkers are used to monitor kidney function after transplant?,A_dense_only,dense,False,1.0,0.7606681,0.9166666666666666,0.1111111111111111
