question_id,question,config,retrieval,reranker,recall_at_5,mrr
1,What are the risk factors for mortality after kidney transplantation?,A_dense_only,dense,False,0.5,1.0
1,What are the risk factors for mortality after kidney transplantation?,B_hybrid,hybrid,False,0.5,0.25
1,What are the risk factors for mortality after kidney transplantation?,C_hybrid_rerank,hybrid,True,0.5,0.3333333333333333
1,What are the risk factors for mortality after kidney transplantation?,D_dense_rerank,dense,True,0.5,0.25
2,How does survival compare between deceased donor transplantation and continued dialysis?,A_dense_only,dense,False,1.0,1.0
2,How does survival compare between deceased donor transplantation and continued dialysis?,B_hybrid,hybrid,False,1.0,1.0
2,How does survival compare between deceased donor transplantation and continued dialysis?,C_hybrid_rerank,hybrid,True,1.0,1.0
2,How does survival compare between deceased donor transplantation and continued dialysis?,D_dense_rerank,dense,True,1.0,1.0
3,What factors affect long-term kidney graft survival?,A_dense_only,dense,False,0.6666666666666666,1.0
3,What factors affect long-term kidney graft survival?,B_hybrid,hybrid,False,0.6666666666666666,1.0
3,What factors affect long-term kidney graft survival?,C_hybrid_rerank,hybrid,True,1.0,1.0
3,What factors affect long-term kidney graft survival?,D_dense_rerank,dense,True,1.0,1.0
4,What is the impact of expanded criteria donors on transplant outcomes?,A_dense_only,dense,False,1.0,0.5
4,What is the impact of expanded criteria donors on transplant outcomes?,B_hybrid,hybrid,False,1.0,1.0
4,What is the impact of expanded criteria donors on transplant outcomes?,C_hybrid_rerank,hybrid,True,1.0,1.0
4,What is the impact of expanded criteria donors on transplant outcomes?,D_dense_rerank,dense,True,1.0,1.0
5,How does recipient age affect the survival benefit of transplantation?,A_dense_only,dense,False,1.0,0.5
5,How does recipient age affect the survival benefit of transplantation?,B_hybrid,hybrid,False,1.0,1.0
5,How does recipient age affect the survival benefit of transplantation?,C_hybrid_rerank,hybrid,True,1.0,1.0
5,How does recipient age affect the survival benefit of transplantation?,D_dense_rerank,dense,True,1.0,1.0
6,What are the complications of kidney transplantation?,A_dense_only,dense,False,0.5,0.5
6,What are the complications of kidney transplantation?,B_hybrid,hybrid,False,0.5,1.0
6,What are the complications of kidney transplantation?,C_hybrid_rerank,hybrid,True,0.5,0.3333333333333333
6,What are the complications of kidney transplantation?,D_dense_rerank,dense,True,0.5,0.5
7,How does diabetes affect outcomes after kidney transplantation?,A_dense_only,dense,False,1.0,1.0
7,How does diabetes affect outcomes after kidney transplantation?,B_hybrid,hybrid,False,1.0,1.0
7,How does diabetes affect outcomes after kidney transplantation?,C_hybrid_rerank,hybrid,True,1.0,0.5
7,How does diabetes affect outcomes after kidney transplantation?,D_dense_rerank,dense,True,1.0,1.0
8,What is the role of immunosuppression in preventing graft rejection?,A_dense_only,dense,False,0.3333333333333333,1.0
8,What is the role of immunosuppression in preventing graft rejection?,B_hybrid,hybrid,False,0.6666666666666666,0.5
8,What is the role of immunosuppression in preventing graft rejection?,C_hybrid_rerank,hybrid,True,0.6666666666666666,1.0
8,What is the role of immunosuppression in preventing graft rejection?,D_dense_rerank,dense,True,0.6666666666666666,1.0
9,How does chronic kidney disease progress before dialysis is needed?,A_dense_only,dense,False,0.0,0.0
9,How does chronic kidney disease progress before dialysis is needed?,B_hybrid,hybrid,False,0.0,0.0
9,How does chronic kidney disease progress before dialysis is needed?,C_hybrid_rerank,hybrid,True,0.0,0.0
9,How does chronic kidney disease progress before dialysis is needed?,D_dense_rerank,dense,True,1.0,0.3333333333333333
10,What biomarkers are used to monitor kidney function after transplant?,A_dense_only,dense,False,1.0,1.0
10,What biomarkers are used to monitor kidney function after transplant?,B_hybrid,hybrid,False,1.0,0.3333333333333333
10,What biomarkers are used to monitor kidney function after transplant?,C_hybrid_rerank,hybrid,True,1.0,1.0
